comment_id,post_id,created_at,body
c001,p001,2020-12-12,"It is buggy but I still love the world and hope they fix it."
c002,p001,2020-12-12,"This is unfinished and the crash problem is bad."
c003,p001,2020-12-13,"The patch potential is promising."
c004,p002,2020-12-16,"The marketing promises were too much."
c005,p002,2020-12-16,"I am disappointed because systems are missing."
c006,p002,2020-12-17,"People should wait for fixes before judging everything."
c007,p003,2021-01-03,"The roadmap gives me hope."
c008,p003,2021-01-04,"Broken launch but better updates can fix it."
c009,p003,2021-01-04,"I still support the game."
c010,p004,2016-08-14,"The reveal promises were not met."
c011,p004,2016-08-15,"It feels unfinished and missing too much."
c012,p004,2016-08-15,"Maybe future updates can improve it."
c013,p005,2016-09-02,"There is potential if the team keeps supporting it."
c014,p005,2016-09-03,"I hope they build on the foundation."
c015,p005,2016-09-03,"The problem is trust after launch."
c016,p006,2016-11-20,"This update is promising and improved stability."
c017,p006,2016-11-21,"The marketing still shaped expectations."
c018,p006,2016-11-21,"I love seeing fixes arrive."
c019,p007,2022-02-27,"The stutter is bad on PC."
c020,p007,2022-02-27,"Still an amazing game despite performance issues."
c021,p007,2022-02-28,"A patch should fix the biggest issue."
c022,p008,2022-03-06,"Great game and the issues are not ruining it for me."
c023,p008,2022-03-06,"I hope support continues."
c024,p008,2022-03-07,"Performance problems are real but the game is fun."
c025,p009,2016-07-11,"Servers are broken but everyone is excited."
c026,p009,2016-07-12,"The concept is fun and promising."
c027,p009,2016-07-12,"Crashes make it unplayable sometimes."
c028,p010,2016-08-03,"Tracking is broken and disappointing."
c029,p010,2016-08-03,"Hopefully updates bring stability."
c030,p010,2016-08-04,"I still love the idea."
c031,p011,2018-09-08,"Minor glitch but the game is great."
c032,p011,2018-09-08,"Strong launch and stable experience."
c033,p011,2018-09-09,"The community is excited."
c034,p012,2017-03-05,"Frame drops happen but the game is amazing."
c035,p012,2017-03-05,"I love it despite the issue."
c036,p012,2017-03-06,"The problems are small compared with the experience."
